Agnew, Hannah R.
Amery, G. B.
Anderson, Martha J.
Andrews, Watson
Avery, Giles B.
Barker, G. Josiah
Barrett, Andrew
Blake, Rhoda
Bowers, Grace
Bowie, Samantha
Bradford, A. B.
Brainard, Jane Maria
Briggs, Nicholas
Brown, Napoleon
Buckingham, D. A.
Bullard, H.
Bullard, Harriet
Bullard, Marcia M.
Bushnell, Richard
Bussell, William
Bussell, William H.
Calver, Amelia
Charlotte
Cowan, Jane
Cushman, Charlotte
Davis, A. J.
De Vere, Cecelia
Deming, Josephine
Devyr, Cecelia
Devyr, Cecilia
Dibble, Chauncy
Dodgson, Anna
Dodson, John
Doolittle, A.
Doolittle, Antoinette
E., F. W.
Eades, H. L.
Editor
Ervin, Anna
Ervin, Anne
Evans, F. W.
Five young sisters of Canaan
Frazer, Daniel
Greeley, Horace
Grey, Alice
Hampton, O. C.
Hollister, A. G.
Hollister, Alonzo
Hollister, Alonzo G.
Holmes, O. W.
Hooser, Samuel
Hurlbut, S. G.
Johnson, Julia
Kaime, Joanna
Lee, Ann
Leggett, E. T.
Leggett, E. T. (words) and Lomas, G. A. (music)
Leonard, W.
McNemar, Richard
Myrick, E.
Myrick, Elijah
Neal, Emma Jane
Neal, Sarah A.
None
Offord, Daniel
Orcutt, Daniel
Osbourne, Lucy J.
Peebles, J. M.
Pelham, R. W.
Perkins, Abraham
Pratt, William A.
Prentiss, Shubael
Prescott, J. S.
Prescott, James S.
Redmon, William N.
Robertson, Frederick W.
Sawyer, Otis
Sears, Florinda
Silesius, Angelus
Smith, Thomas
Sproat, G. T.
Stebbins, Olive
Stephens, Annie
Tilton, Theodore
United Societies called Shakers
Vincent, Henry
Webster, E. H.
Webster, Elizabeth
Webster, Ruth
Wheeler, Maria
Whitcher, Mary
White, Anna
White, F. W.
Witham, Maria
Wood, Aaron
